"","breaks","counts","prob","cum_prob"
"1",-5.7,1,0.000303766707168894,0.000303766707168894
"2",-5.6,1,0.000303766707168894,0.000607533414337789
"3",-5.5,0,0,0.000607533414337789
"4",-5.4,2,0.000607533414337789,0.00121506682867558
"5",-5.3,1,0.000303766707168894,0.00151883353584447
"6",-5.2,0,0,0.00151883353584447
"7",-5.1,3,0.000911300121506683,0.00243013365735115
"8",-5,0,0,0.00243013365735115
"9",-4.9,0,0,0.00243013365735115
"10",-4.8,0,0,0.00243013365735115
"11",-4.7,3,0.000911300121506683,0.00334143377885784
"12",-4.6,1,0.000303766707168894,0.00364520048602673
"13",-4.5,5,0.00151883353584447,0.0051640340218712
"14",-4.4,3,0.000911300121506683,0.00607533414337789
"15",-4.3,3,0.000911300121506683,0.00698663426488457
"16",-4.2,2,0.000607533414337789,0.00759416767922236
"17",-4.1,5,0.00151883353584447,0.00911300121506683
"18",-4,5,0.00151883353584447,0.0106318347509113
"19",-3.9,6,0.00182260024301337,0.0124544349939247
"20",-3.8,8,0.00243013365735115,0.0148845686512758
"21",-3.7,7,0.00212636695018226,0.0170109356014581
"22",-3.6,8,0.00243013365735115,0.0194410692588092
"23",-3.5,33,0.0100243013365735,0.0294653705953827
"24",-3.4,46,0.0139732685297691,0.0434386391251519
"25",-3.3,8,0.00243013365735115,0.045868772782503
"26",-3.2,37,0.0112393681652491,0.0571081409477521
"27",-3.1,48,0.0145808019441069,0.0716889428918591
"28",-3,59,0.0179222357229648,0.0896111786148238
"29",-2.9,28,0.00850546780072904,0.0981166464155529
"30",-2.8,49,0.0148845686512758,0.113001215066829
"31",-2.7,57,0.017314702308627,0.130315917375456
"32",-2.6,35,0.0106318347509113,0.140947752126367
"33",-2.5,40,0.0121506682867558,0.153098420413123
"34",-2.4,59,0.0179222357229648,0.171020656136087
"35",-2.3,45,0.0136695018226002,0.184690157958688
"36",-2.2,42,0.0127582017010936,0.197448359659781
"37",-2.1,42,0.0127582017010936,0.210206561360875
"38",-2,68,0.0206561360874848,0.23086269744836
"39",-1.9,64,0.0194410692588092,0.250303766707169
"40",-1.8,72,0.0218712029161604,0.272174969623329
"41",-1.7,79,0.0239975698663427,0.296172539489672
"42",-1.6,64,0.0194410692588092,0.315613608748481
"43",-1.5,63,0.0191373025516403,0.334750911300122
"44",-1.4,77,0.0233900364520049,0.358140947752126
"45",-1.3,65,0.0197448359659781,0.377885783718104
"46",-1.2,86,0.0261239368165249,0.404009720534629
"47",-1.1,84,0.0255164034021871,0.429526123936817
"48",-1,79,0.0239975698663427,0.453523693803159
"49",-0.9,71,0.0215674362089915,0.475091130012151
"50",-0.800000000000001,89,0.0270352369380316,0.502126366950182
"51",-0.7,83,0.0252126366950182,0.5273390036452
"52",-0.600000000000001,81,0.0246051032806804,0.551944106925881
"53",-0.500000000000001,88,0.0267314702308627,0.578675577156744
"54",-0.4,85,0.025820170109356,0.6044957472661
"55",-0.300000000000001,72,0.0218712029161604,0.62636695018226
"56",-0.200000000000001,86,0.0261239368165249,0.652490886998785
"57",-0.100000000000001,84,0.0255164034021871,0.678007290400972
"58",0,74,0.0224787363304982,0.70048602673147
"59",0.0999999999999996,63,0.0191373025516403,0.719623329283111
"60",0.199999999999999,61,0.0185297691373026,0.738153098420413
"61",0.299999999999999,60,0.0182260024301337,0.756379100850547
"62",0.399999999999999,71,0.0215674362089915,0.777946537059538
"63",0.499999999999999,59,0.0179222357229648,0.795868772782503
"64",0.6,57,0.017314702308627,0.81318347509113
"65",0.699999999999999,47,0.014277035236938,0.827460510328068
"66",0.799999999999999,53,0.0160996354799514,0.843560145808019
"67",0.899999999999999,46,0.0139732685297691,0.857533414337789
"68",0.999999999999999,32,0.00972053462940462,0.867253948967193
"69",1.1,46,0.0139732685297691,0.881227217496962
"70",1.2,46,0.0139732685297691,0.895200486026731
"71",1.3,38,0.011543134872418,0.90674362089915
"72",1.4,19,0.00577156743620899,0.912515188335358
"73",1.5,22,0.00668286755771567,0.919198055893074
"74",1.6,36,0.0109356014580802,0.930133657351154
"75",1.7,22,0.00668286755771567,0.93681652490887
"76",1.8,17,0.0051640340218712,0.941980558930741
"77",1.9,23,0.00698663426488457,0.948967193195626
"78",2,16,0.00486026731470231,0.953827460510328
"79",2.1,24,0.00729040097205346,0.961117861482382
"80",2.2,19,0.00577156743620899,0.966889428918591
"81",2.3,11,0.00334143377885784,0.970230862697448
"82",2.4,10,0.00303766707168894,0.973268529769137
"83",2.5,16,0.00486026731470231,0.97812879708384
"84",2.6,8,0.00243013365735115,0.980558930741191
"85",2.7,7,0.00212636695018226,0.982685297691373
"86",2.8,5,0.00151883353584447,0.984204131227218
"87",2.9,10,0.00303766707168894,0.987241798298906
"88",3,6,0.00182260024301337,0.98906439854192
"89",3.1,5,0.00151883353584447,0.990583232077764
"90",3.2,5,0.00151883353584447,0.992102065613609
"91",3.3,2,0.000607533414337789,0.992709599027947
"92",3.4,1,0.000303766707168894,0.993013365735115
"93",3.5,3,0.000911300121506683,0.993924665856622
"94",3.6,4,0.00121506682867558,0.995139732685298
"95",3.7,0,0,0.995139732685298
"96",3.8,3,0.000911300121506683,0.996051032806804
"97",3.9,1,0.000303766707168894,0.996354799513973
"98",4,1,0.000303766707168894,0.996658566221142
"99",4.1,1,0.000303766707168894,0.996962332928311
"100",4.2,0,0,0.996962332928311
"101",4.3,0,0,0.996962332928311
"102",4.4,1,0.000303766707168894,0.99726609963548
"103",4.5,0,0,0.99726609963548
"104",4.6,0,0,0.99726609963548
"105",4.7,3,0.000911300121506683,0.998177399756987
"106",4.8,0,0,0.998177399756987
"107",4.9,0,0,0.998177399756987
"108",5,0,0,0.998177399756987
"109",5.1,0,0,0.998177399756987
"110",5.2,0,0,0.998177399756987
"111",5.3,1,0.000303766707168894,0.998481166464156
"112",5.4,1,0.000303766707168894,0.998784933171324
"113",5.5,0,0,0.998784933171324
"114",5.6,0,0,0.998784933171324
"115",5.7,0,0,0.998784933171324
"116",5.8,1,0.000303766707168894,0.999088699878493
"117",5.9,2,0.000607533414337789,0.999696233292831
"118",6,0,0,0.999696233292831
"119",6.1,0,0,0.999696233292831
"120",6.2,0,0,0.999696233292831
"121",6.3,0,0,0.999696233292831
"122",6.4,1,0.000303766707168894,1
"123",6.5,0,0,1
